name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Austin Desmond Fine Art,Pied Bull Yard ,68⁄69 Great Russell Street,,E09000007,Camden,5083316.0,E05000138,Holborn and Covent Garden,http://austindesmond.com/#,-0.12434878172788055,51.51879360553176,530233.9647133822,181652.92357369483,12/29/2019,galleries,"68-69 Great Russell St, Holborn, London WC1B 3BN, United Kingdom",Austin Desmond,ChIJj39pkzMbdkgRqk9bEVC-x2M,4.5,"['art_gallery', 'point_of_interest', 'establishment']",2.0
Brunei Gallery,SOAS,Thornhaugh Street,,E09000007,Camden,5086881.0,E05000129,Bloomsbury,http://www.soas.ac.uk/gallery/#,-0.1292334038104869,51.522351788492614,529884.9648089437,182039.92347005074,12/29/2019,galleries,"SOAS, University of London Thornhaugh Street, Russell Square, London WC1H 0XG, United Kingdom",Brunei Gallery SOAS,ChIJSyUp2jEbdkgRsTznK93_GMo,4.4,"['art_gallery', 'museum', 'point_of_interest', 'establishment']",127.0
The October Gallery,24 Old Gloucester Street,,,E09000007,Camden,5087208.0,E05000138,Holborn and Covent Garden,http://www.octobergallery.co.uk/#,-0.12170487534086333,51.52069373807282,530411.9646658043,181868.9235150376,12/29/2019,galleries,"24 Old Gloucester St, Holborn, London WC1N 3AL, United Kingdom",October Gallery,ChIJZ3v4mDYbdkgRxByqOXp_5nY,4.5,"['art_gallery', 'tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']",89.0
Rebecca Hossack Gallery 2,"28 Charlotte Street,",,,E09000007,Camden,5087275.0,E05000129,Bloomsbury,http://www.richard-green.com/#,-0.13496573036937656,51.51894488735309,529496.9649124889,181650.92357560745,12/29/2019,galleries,"28 Charlotte St, Marylebone, London W1T 2NF, United Kingdom",Rebecca Hossack Art Gallery,ChIJCcSwCiwbdkgR2zJvIIMA7lo,3.6,"['art_gallery', 'point_of_interest', 'establishment']",10.0
Rebecca Hossack Gallery 1,2a Conway Street,,,E09000007,Camden,5087297.0,E05000129,Bloomsbury,http://www.rebeccahossack.com/#,-0.13952379000619744,51.52204781119472,529171.9650016477,181987.923484485,12/29/2019,galleries,"2a Conway St, Fitzroy Square, Fitzrovia, London W1T 6BA, United Kingdom",Rebecca Hossack Art Gallery,ChIJMSRKEywbdkgRF-0bXJ7Tclo,4.6,"['art_gallery', 'point_of_interest', 'establishment']",22.0
The Framers Gallery,36 Windmill Street,,,E09000007,Camden,5087378.0,E05000129,Bloomsbury,http://www.theframersgallery.co.uk/#,-0.1341601699643469,51.51890509971838,529552.9648973413,181647.92357631386,12/29/2019,galleries,"36 Windmill St, Fitzrovia, London W1T 2JT, United Kingdom",Artefact Picture Framers,ChIJySvWEiwbdkgRYHeAWcNaq_Y,4.4,"['point_of_interest', 'store', 'establishment']",19.0
Beside the Wave,41 Chalcot Road,,,E09000007,Camden,5087431.0,E05000130,Camden Town with Primrose Hill,http://www.beside-the-wave.co.uk/#,-0.15417121885878915,51.540174629108925,528104.9652930357,183977.9229422809,12/29/2019,galleries,"41 Chalcot Rd, Primrose Hill, London NW1 8LS, United Kingdom",Beside The Wave London,ChIJYyHUvegadkgRN5Egn-N2no8,4.0,"['art_gallery', 'point_of_interest', 'establishment']",1.0
Woolff Gallery,89 Charlotte St,,,E09000007,Camden,5087726.0,E05000129,Bloomsbury,http://www.woolffgallery.co.uk/#,-0.13706553532395127,51.52047104451743,529346.9649537974,181816.92353088545,12/29/2019,galleries,"89 Charlotte St, Fitzrovia, London W1T 4PU, United Kingdom",Woolff Gallery,ChIJmbqaYykbdkgRJJtHXsdW7uc,4.9,"['art_gallery', 'point_of_interest', 'establishment']",12.0
Lahd Gallery,92 Heath Street,,,E09000007,Camden,5087751.0,E05000135,Hampstead Town,http://www.lahdgallery.com/#,-0.1784994270988269,51.55821624511333,526367.9657634618,185941.92240830328,12/29/2019,galleries,"92 Heath St, Hampstead, London NW3 1DP, UK",92 Heath St,ChIJe-dIE30adkgRS6kAVL1BYQ0,,['street_address'],
The Cob Gallery,205 Royal College Street,,,E09000007,Camden,5087949.0,E05000130,Camden Town with Primrose Hill,http://www.cobgallery.com/#,-0.13802301452333038,51.54116049544474,529221.9649893974,184115.92290637837,12/29/2019,galleries,"205 Royal College St, London NW1 0SG, United Kingdom",The Cob Gallery,ChIJIwGqhh4bdkgR4DrgZo9WjEc,4.1,"['art_gallery', 'point_of_interest', 'establishment']",11.0
Edge of Arabia,5 Southampton Place,,,E09000007,Camden,5088047.0,E05000138,Holborn and Covent Garden,http://edgeofarabia.com/#,-0.12162303724304477,51.518129493384464,530424.9646616299,181583.92359197454,12/29/2019,galleries,"5 Southampton Pl, Holborn, London WC1A 2DA, United Kingdom",Edge of Arabia,ChIJT2IOXTQbdkgR1b-qvcVmGls,0.0,"['point_of_interest', 'establishment']",0.0
Hanmi Gallery,30 Maple Street,,,E09000007,Camden,5088144.0,E05000129,Bloomsbury,http://www.hanmigallery.co.uk/#,-0.13894096306756631,51.52220043508069,529211.9649908929,182005.92347967246,12/29/2019,galleries,"30 Maple St, Fitzrovia, London W1T 6HA, United Kingdom",Hanmi Gallery,ChIJlyKdrykbdkgRx8ITB0_cLeQ,0.0,"['art_gallery', 'point_of_interest', 'establishment']",0.0
Gagosian Gallery 1,6-24 Brittania Street,,,E09000007,Camden,5088316.0,E05000141,King's Cross,http://www.gagosian.com/#,-0.1180013927343226,51.53010375309922,530641.9646051446,182921.92322875152,12/29/2019,galleries,"6-24 Britannia St, Kings Cross, London WC1X 9JD, United Kingdom",Gagosian,ChIJwyN9sDgbdkgRfepwQ81LCxc,4.5,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",89.0
L. Ron Hubbardâs Fitzroy House,37 Fitzroy Street,,,E09000007,Camden,5088512.0,E05000129,Bloomsbury,http://www.fitzroyhouse.org/#,-0.1391881718591446,51.52250111600906,529193.9649958417,182038.92347070985,12/29/2019,galleries,,,,,,
Novelty Automation,1A Princeton Street,,,E09000007,Camden,5105749.0,E05000138,Holborn and Covent Garden,http://www.novelty-automation.com/#,-0.11690407225841615,51.519663543819334,530747.9645745028,181762.92354333762,12/29/2019,galleries,"1A Princeton St, Holborn, London WC1R 4AY, United Kingdom",Novelty Automation,ChIJqYt4G0obdkgRAXW8NHneff4,4.7,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",331.0
Charlie Dutton Gallery,1a Princeton Street,,,E09000007,Camden,5105749.0,E05000138,Holborn and Covent Garden,http://www.charlieduttongallery.com/#,-0.11690407225841615,51.519663543819334,530747.9645745028,181762.92354333762,12/29/2019,galleries,"1A Princeton St, Holborn, London WC1R 4AY, United Kingdom",Charlie Dutton Gallery,ChIJNWsfBUobdkgRMF7Y6IqoFz8,5.0,"['art_gallery', 'point_of_interest', 'store', 'establishment']",1.0
Simon Oldfield,Bloomsbury Square,,,E09000007,Camden,5106153.0,E05000138,Holborn and Covent Garden,http://simonoldfield.com/#,-0.1234213548908112,51.518562947769915,530298.9646957637,181628.92358005172,12/29/2019,galleries,"Bloomsbury Square, Holborn, London WC1A 2LP, United Kingdom",Simon Oldfield,ChIJWSdVdMwEdkgR47tF0U6pS_E,0.0,"['point_of_interest', 'establishment']",0.0
The Gallery at 94,94 Cleveland Street,,,E09000007,Camden,5109564.0,E05000129,Bloomsbury,http://www.galleryat94.com/#,-0.14115884786754268,51.5226043006357,529056.96503283,182046.9234682931,12/29/2019,galleries,"94 Cleveland St, Fitzrovia, London W1T 6NW, United Kingdom",The Gallery at 94,ChIJ3-lXKtYadkgR03FR4ulOYJU,0.0,"['art_gallery', 'point_of_interest', 'establishment']",0.0
Tristan Hoare,6 Fitzroy Square,,,E09000007,Camden,5113050.0,E05000129,Bloomsbury,http://www.tristanhoare.co.uk/#,-0.13939422448342004,51.523457611124954,529176.9650007103,182144.92344197407,12/29/2019,galleries,"6 Fitzroy Square, Kings Cross, London W1T 5HJ, United Kingdom",Tristan Hoare,ChIJ_YAiBScQdkgRllt0M8PpSZ0,4.9,"['art_gallery', 'point_of_interest', 'establishment']",10.0
Hardy Tree Gallery,119 Pancras Road,,,E09000007,Camden,5135046.0,E05000143,St. Pancras and Somers Town,http://hardytreegallery.com/#,-0.12888018870602308,51.53342520065355,529877.964813056,183271.92313460814,12/29/2019,galleries,,,,,,
University College London Museums,Gower Street,,,E09000007,Camden,5157423.0,E05000129,Bloomsbury,http://www.ucl.ac.uk/museums/#,-0.13400176991493676,51.52454101512414,529547.964901156,182274.92340756964,12/29/2019,galleries,"Gower St, Bloomsbury, London WC1E 6BT, United Kingdom",University College London,ChIJeTUXaS8bdkgRPhPMrn_GCNA,4.3,"['university', 'point_of_interest', 'establishment']",613.0
Contemporary Applied Arts,2 Percy Street,,,E09000007,Camden,5159812.0,E05000129,Bloomsbury,http://www.caa.org.uk/#,-0.13401333222086506,51.51791356463358,529565.9648933971,181537.9236058941,12/29/2019,galleries,"6 Paddington St, Marylebone, London W1U 5QG, United Kingdom",Contemporary Applied Arts,ChIJ73legcsEdkgRI4c32WdntM8,4.2,"['art_gallery', 'point_of_interest', 'establishment']",17.0
Architectural Association,36 Bedford Square,,,E09000007,Camden,5176539.0,E05000129,Bloomsbury,http://www.aaschool.ac.uk/PUBLIC/WHATSON/exhibitions.php#,-0.1306712038183859,51.51822006569438,529796.9648311741,181577.9235947136,12/29/2019,galleries,"36 Bedford Square, Bloomsbury, London WC1B 3ES, United Kingdom",Architectural Association,ChIJr6fNvC0bdkgR-MC9QftBfjc,4.6,"['university', 'point_of_interest', 'establishment']",73.0
The Crypt Gallery,St Pancras Church,Euston Road,,E09000007,Camden,5188543.0,E05000141,King's Cross,http://cryptgallery.org.uk/#,-0.13016406662193758,51.52707881467916,529806.9648314815,182563.92332834218,12/29/2019,galleries,"165 Euston Rd, Bloomsbury, London NW1 2BA, United Kingdom",Crypt Gallery,ChIJWx12OiUbdkgRT6YagSMYmNI,4.4,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",79.0
CubeFuture,33 Fournier Street,,,E09000030,Tower Hamlets,6001683.0,E05009333,Spitalfields & Banglatown,http://www.cubefuture.com/#,-0.0726651388473254,51.51934936754133,533817.9637391116,181807.92353434121,12/29/2019,galleries,"33 Fournier St, Spitalfields, London E1 6QE, UK",33 Fournier St,ChIJO2iSxbUcdkgRlZ7erkipI_E,,['premise'],
Eleven Spitalfields,11 Princelet Street,,,E09000030,Tower Hamlets,6001684.0,E05009333,Spitalfields & Banglatown,http://www.elevenspitalfields.com/#,-0.07285995026110731,51.519856162371504,533802.9637433107,181863.9235190012,12/29/2019,galleries,"11 Princelet St, Spitalfields, London E1 6QH, United Kingdom",Eleven Spitalfields Gallery,ChIJE_7r27UcdkgRhuXpVDzASJU,4.8,"['art_gallery', 'point_of_interest', 'establishment']",5.0
Leyden Gallery,9/9a Leyden Street,,,E09000030,Tower Hamlets,6001837.0,E05009333,Spitalfields & Banglatown,http://www.leydengallery.com/#,-0.0762279062232559,51.51689894822793,533577.9638043763,181528.92361061816,12/29/2019,galleries,"9 Leyden St, Spitalfields, London E1 7LE, United Kingdom",Leydens London,ChIJb1C8oIcddkgRbmARDl1WtOA,4.6,"['art_gallery', 'point_of_interest', 'establishment']",36.0
Brick Lane Gallery,216 Brick Lane,,,E09000030,Tower Hamlets,6002804.0,E05009335,Weavers,http://www.thebricklanegallery.com/#,-0.07139596667862995,51.52448129937768,533890.963720763,182380.92337747867,12/29/2019,galleries,"216 Brick Ln, London E1 6SA, United Kingdom",The Brick Lane Gallery,ChIJWWiQw7ccdkgR4HHNsuv4aIw,4.1,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",99.0
Espacio Gallery,159 Bethnal Green Road,,,E09000030,Tower Hamlets,6005162.0,E05009335,Weavers,http://www.espaciogallery.com/#,-0.07052655451494144,51.52560905735602,533947.9637058304,182507.9233427627,12/29/2019,galleries,"159 Bethnal Green Rd, Shoreditch, London E2 7DG, United Kingdom",Espacio Gallery,ChIJv9f1_8ccdkgR75Bq_VThwOU,4.5,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",97.0
Whitechapel Gallery,77-82 Whitechapel High Street,,,E09000030,Tower Hamlets,6011122.0,E05009333,Spitalfields & Banglatown,http://www.whitechapel.org/#,-0.07036342890511026,51.516173036553,533986.963692274,181458.92362910454,12/29/2019,galleries,"77-82 Whitechapel High St, Shadwell, London E1 7QX, United Kingdom",Whitechapel Gallery,ChIJzZtNX7UcdkgRzycysU2TrhM,4.2,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",1532.0
The Mews Project Space,15c Osborn Street,,,E09000030,Tower Hamlets,6015759.0,E05009333,Spitalfields & Banglatown,http://the-mews-about.blogspot.co.uk/#,-0.07007874315900774,51.516429136710826,534005.963687072,181487.9236213523,12/29/2019,galleries,"15c Osborn St, Shadwell, London E1 6TY, United Kingdom",The Mews Project Space,ChIJecDemMocdkgRqLRWsFuUc4A,0.0,"['point_of_interest', 'establishment']",0.0
Stolenspace Gallery,"17 Osborn St,",,,E09000030,Tower Hamlets,6015771.0,E05009333,Spitalfields & Banglatown,https://www.stolenspace.com/#,-0.07013445672188325,51.51647501776826,534001.9636881689,181492.92362001847,12/29/2019,galleries,"17 Osborn St, Shadwell, London E1 6TD, United Kingdom",StolenSpace Gallery,ChIJcwCeFbYcdkgR6OqvZOXlmfI,4.5,"['art_gallery', 'point_of_interest', 'establishment']",75.0
Maureen Paley,21 Herald Street,,,E09000030,Tower Hamlets,6015931.0,E05009331,St. Peter's,http://www.maureenpaley.com/#,-0.055982226966414896,51.525254900107925,534957.8834152743,182495.27332125386,12/29/2019,galleries,"21 Herald St, London E2 6JT, United Kingdom",Maureen Paley,ChIJa0FEfNAcdkgRKrbjLXiIpwk,4.7,"['art_gallery', 'point_of_interest', 'establishment']",29.0
Four Corners Gallery,121 Roman Road,,,E09000030,Tower Hamlets,6039056.0,E05009317,Bethnal Green,http://www.fourcornersfilm.co.uk/gallery#,-0.04899130294587407,51.52889594535799,535432.0132912778,182913.0832050836,12/29/2019,galleries,"Ground Floor, 121 Roman Rd, Globe Town, London E2 0QN, United Kingdom",Four Corners,ChIJB052-9gcdkgRbfs9QTpMR9c,4.8,"['art_gallery', 'point_of_interest', 'establishment']",14.0
Arebyte,Unit 4,49 White Post Lane,,E09000030,Tower Hamlets,6077533.0,E05009319,Bow East,http://www.arebyte.com/#,-0.023501625662208463,51.54288339666672,537157.9628318318,184515.9227968345,12/29/2019,galleries,"Unit 4, Burgess Business Park SE5 7TJ, United Kingdom",Arebyte Studios,ChIJXeQZpHsDdkgRtV5VGQrmsQU,4.5,"['point_of_interest', 'establishment']",2.0
Proof London,26 Cheshire Street,,,E09000030,Tower Hamlets,6089640.0,E05009335,Weavers,http://prooflondon.com/#,-0.0703877578580962,51.52345086599552,533963.9236616828,182268.18335707745,12/29/2019,galleries,"26 Cheshire St, London E2 6EH, UK",26 Cheshire St,ChIJUxAQKMgcdkgRr0COcSUPA5c,,['premise'],
Vilma Gold,6 Minerva Street,,,E09000030,Tower Hamlets,6143359.0,E05009331,St. Peter's,http://vilmagold.com/#,-0.05970451271428207,51.5315992129505,534680.9635077538,183193.92315513804,12/29/2019,galleries,"6 Minerva St, London E2 9EH, United Kingdom",Vilma Gold,ChIJ2YJgRMMcdkgReGybo4Tjd-U,5.0,"['art_gallery', 'point_of_interest', 'establishment']",1.0
Modern Art 2,50-58 Vyner Street,,,E09000030,Tower Hamlets,6146632.0,E05009331,St. Peter's,http://www.modernart.net/#,-0.05475998843792677,51.534619655516465,535014.9634169801,183538.92306184553,12/29/2019,galleries,"50-58 Vyner St, London E2 9DQ, United Kingdom",Modern Art,ChIJd77Cvd0cdkgRCcROvqAwANU,4.8,"['art_gallery', 'point_of_interest', 'establishment']",4.0
Chisenhale Gallery,64 Chisenhale Road,,,E09000030,Tower Hamlets,6146768.0,E05009320,Bow West,http://www.chisenhale.org.uk/#,-0.03979532186381324,51.53307608554653,536057.3931229226,183394.9630780461,12/29/2019,galleries,"64 Chisenhale Rd, Bow, London E3 5QZ, United Kingdom",Chisenhale Gallery,ChIJKdLgySMddkgR977spvwvlLs,4.6,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",53.0
Forman's Smokehouse Gallery,Stour Road,Fish Island,,E09000030,Tower Hamlets,6151026.0,E05009319,Bow East,http://smokehousegallery.org/#,-0.02120396650995414,51.53962540032962,537327.0827815479,184157.9328430279,12/29/2019,galleries,"Stour Rd, Bow, London E3 2NS, United Kingdom",Forman's Smokehouse Gallery,ChIJa6JCoNYddkgRzYZsk1am6ig,1.0,"['art_gallery', 'point_of_interest', 'establishment']",2.0
The Alexander Miles Gallery,"Unit K, The Ivory House",St.Katharine Docks,,E09000030,Tower Hamlets,6155400.0,E05009330,St. Katharine's & Wapping,http://www.thealexandermilesgallery.com/,-0.0712086762260059,51.50742805494043,533953.9637015625,180484.92389039433,12/29/2019,galleries,"Unit A04, 100 The Highway, Wapping, London E1W 2BX, United Kingdom",The Alexander Miles Gallery,ChIJCcx9-EgDdkgRDjZtkOpgiqk,3.8,"['point_of_interest', 'establishment']",13.0
Calvert 22,22 Calvert Avenue,,,E09000030,Tower Hamlets,6159644.0,E05009335,Weavers,http://calvert22.org/#,-0.0762321397283168,51.5260838756287,533550.8037781982,182550.29332595636,12/29/2019,galleries,"22 Calvert Ave, Shoreditch, London E2 7JP, United Kingdom",Calvert 22 Foundation,ChIJ85CTHbocdkgRSyvs12Pz150,4.7,"['art_gallery', 'book_store', 'point_of_interest', 'store', 'establishment']",57.0
Breese Little,Unit 1,249-253 Cambridge Heath Road,,E09000030,Tower Hamlets,6161973.0,E05009331,St. Peter's,http://www.breeselittle.com/#,-0.05555288211608049,51.525732384712256,534986.2534028165,182549.16332117352,12/29/2019,galleries,"1, 249 Cambridge Heath Rd, London E2 6JY, United Kingdom",Breese Little,ChIJ-aL2ftocdkgRzhdb1H8QRBU,4.0,"['art_gallery', 'point_of_interest', 'establishment']",1.0
Public Exhibitions,"Black Gates,",Hassard Street,,E09000030,Tower Hamlets,6178041.0,E05009335,Weavers,http://publicexhibitions.biz/#,-0.0722923964901217,51.53065451333914,533810.6837142921,183065.7631557533,12/29/2019,galleries,"Black Gates, Hassard St, London E2 7RD, United Kingdom",Public Exhibitions London,ChIJzTHDy7gcdkgR5jjdXfEK1YM,0.0,"['art_gallery', 'point_of_interest', 'establishment']",0.0
Union Gallery,94 Teesdale Street,,,E09000030,Tower Hamlets,6178788.0,E05009331,St. Peter's,http://www.union-gallery.com/#,-0.061320976402971565,51.52981451921325,534574.1135000668,182992.4832075839,12/29/2019,galleries,"94 Teesdale St, London E2 6PU, United Kingdom",Union Gallery,ChIJ9QCQBqYEdkgRBz9viP4ICHM,5.0,"['art_gallery', 'point_of_interest', 'establishment']",3.0
Cell Project Space,258 Cambridge Heath Road,,,E09000030,Tower Hamlets,6180728.0,E05009331,St. Peter's,http://www.cellprojects.org/#,-0.05660419318312662,51.533279700835884,534891.0234483557,183386.51306867728,12/29/2019,galleries,"258 Cambridge Heath Rd, London E2 9DA, United Kingdom",Cell Project Space,ChIJaSQFH90cdkgRDQUA-kTrUHU,4.0,"['art_gallery', 'point_of_interest', 'establishment']",15.0
Unit 9,The Huntingdon Estate,Ebor St / Bethnal Green Rd,,E09000030,Tower Hamlets,6210892.0,E05009335,Weavers,http://www.unit9.london/#,-0.0748439419621892,51.524079366931524,533652.963784639,182329.92339126952,12/29/2019,galleries,"Unit9 Project Space,, Unit 9, The Huntingdon Estate,, Bethnal Green Road,, London E1 6JU, United Kingdom",UNIT9 Project Space,ChIJKZbKMLccdkgRpT3yjg00Y_M,5.0,"['art_gallery', 'point_of_interest', 'establishment']",1.0
Raven Row,56 Artillery Lane,,,E09000030,Tower Hamlets,6653355.0,E05009333,Spitalfields & Banglatown,http://www.ravenrow.org/#,-0.07685223477567199,51.51815918091642,533530.9638172842,181667.92357272282,12/29/2019,galleries,"56 Artillery Ln, Spitalfields, London E1 7LS, United Kingdom",Raven Row,ChIJcS_HhbMcdkgR-zu2BK30Hnw,4.8,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",37.0
Pitzhanger Manor House & Gallery,Walpole Park,Mattock Lane,,E09000009,Ealing,12141314.0,E05000192,Walpole,http://www.pitzhanger.org.uk/#,-0.3070922992581677,51.51090756913104,517575.9681538842,180466.92389570986,12/29/2019,galleries,"Pitzhanger Manor & Gallery, Mattock Ln, Ealing, London W5 5EQ, United Kingdom",Pitzhanger Manor & Gallery,ChIJZc_lPosNdkgR_p4LbRh7Gxw,4.6,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",201.0
Studio 106,106 Dawes Road,,,E09000013,Hammersmith and Fulham,34055693.0,E05000254,Fulham Broadway,http://www.studio106artgallery.org/#,-0.20400786320649367,51.48049961604802,524811.9661876966,177255.924770798,12/29/2019,galleries,"12 Dawes Rd, Fulham, London SW6 7EN, United Kingdom",MARCUS' HAIR STUDIO,ChIJQy5E1ZoPdkgRR9bMWZetlCo,5.0,"['hair_care', 'point_of_interest', 'establishment']",42.0
Louise T Blouin Institute,3 Olaf Street,,,E09000013,Hammersmith and Fulham,34115265.0,E05000263,Shepherd's Bush Green,http://www.ltbfoundation.org/#,-0.21775969406160056,51.51008832623464,523776.96646757424,180522.9238806009,12/29/2019,galleries,"3 Olaf St, Notting Hill, London W11 4BE, United Kingdom",Louise Blouin Foundation,ChIJAURhTdkPdkgRxMgsTLtl70o,3.3,"['art_gallery', 'cafe', 'food', 'point_of_interest', 'establishment']",3.0
Bhavan Art Gallery,4a Castletown Road,,,E09000013,Hammersmith and Fulham,34140084.0,E05000258,North End,http://www.bhavan.net/art-gallery#,-0.20704343091384247,51.48976350443796,524575.9662516486,178280.92449157394,12/29/2019,galleries,"4A Castletown Rd, Hammersmith, London W14 9HE, United Kingdom",The Bhavan,ChIJB87eFZQPdkgRjQvUqDPiBM4,4.5,"['point_of_interest', 'establishment']",136.0
Hidde van Seggelen Gallery,2 Michael Road,,,E09000013,Hammersmith and Fulham,34144768.0,E05000262,Sands End,http://www.hiddevanseggelen.com/#,-0.18846824317930927,51.47758981129139,525898.9658949018,176958.924849384,12/29/2019,galleries,"2 Michael Rd, Fulham, London SW6 2AD, United Kingdom",Hidde van Seggelen,ChIJRxo77NYEdkgRG_5uoJKXoIQ,0.0,"['art_gallery', 'point_of_interest', 'establishment']",0.0
The Cynthia Corbett Gallery,15 Claremont Lodge,,,E09000024,Merton,48022286.0,E05000469,Raynes Park,http://www.thecynthiacorbettgallery.com/#,-0.22277732713183288,51.41551641903511,523683.966493084,169997.92674050323,12/29/2019,galleries,"Claremont Lodge, Wimbledon, London SW20 8UA, United Kingdom",The Cynthia Corbett Gallery,ChIJBUpRUtsIdkgRdqcRUK6o5YE,5.0,"['art_gallery', 'point_of_interest', 'establishment']",1.0
Bank of England Museum,Bartholomew Lane,,,E09000001,City and County of the City of London,95511162.0,E05009312,Walbrook,http://www.bankofengland.co.uk/education/Pages/museum/visiting/default.aspx#,-0.08769741027983825,51.51423596367373,532789.9640192118,181211.92369558802,12/29/2019,galleries,"Bartholomew Ln, London EC2R 8AH, United Kingdom",Bank of England Museum,ChIJ08o_oFQDdkgRDZ6tiQDJXOc,4.4,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",913.0
